year,tmID,total_wins,total_losses
1,CHA,0.0,0.0
1,CLE,0.0,0.0
1,DET,0.0,0.0
1,HOU,0.0,0.0
1,IND,0.0,0.0
1,LAS,0.0,0.0
1,MIA,0.0,0.0
1,MIN,0.0,0.0
1,NYL,0.0,0.0
1,ORL,0.0,0.0
1,PHO,0.0,0.0
1,POR,0.0,0.0
1,SAC,0.0,0.0
1,SEA,0.0,0.0
1,UTA,0.0,0.0
1,WAS,0.0,0.0
1,CON,0.0,0.0
1,SAS,0.0,0.0
1,CHI,0.0,0.0
1,ATL,0.0,0.0
2,CHA,0.0,0.0
2,CLE,2.0,1.0
2,DET,0.0,0.0
2,HOU,6.0,0.0
2,IND,0.0,0.0
2,LAS,2.0,0.0
2,MIA,0.0,0.0
2,MIN,0.0,0.0
2,NYL,4.0,0.0
2,ORL,0.0,1.0
2,PHO,0.0,0.0
2,POR,0.0,0.0
2,SAC,0.0,0.0
2,SEA,0.0,0.0
2,UTA,0.0,0.0
2,WAS,0.0,0.0
2,CON,0.0,0.0
2,SAS,0.0,0.0
2,CHI,0.0,0.0
2,ATL,0.0,0.0
3,CHA,4.0,0.0
3,CLE,1.0,1.0
3,DET,0.0,0.0
3,HOU,3.0,0.0
3,IND,0.0,0.0
3,LAS,4.0,0.0
3,MIA,0.0,1.0
3,MIN,0.0,0.0
3,NYL,3.0,0.5
3,ORL,0.0,1.0
3,PHO,0.0,0.0
3,POR,0.0,0.0
3,SAC,1.0,0.5
3,SEA,0.0,0.0
3,UTA,0.0,0.0
3,WAS,0.0,0.0
3,CON,0.0,0.0
3,SAS,0.0,0.0
3,CHI,0.0,0.0
3,ATL,0.0,0.0
4,CHA,2.0,0.0
4,CLE,0.0,1.0
4,DET,0.0,0.0
4,HOU,0.0,0.5
4,IND,0.0,1.0
4,LAS,6.0,0.0
4,MIA,0.0,1.0
4,MIN,0.0,0.0
4,NYL,3.0,0.5
4,ORL,0.0,0.0
4,PHO,0.0,0.0
4,POR,0.0,0.0
4,SAC,2.0,1.0
4,SEA,0.0,0.0
4,UTA,1.0,0.0
4,WAS,2.0,1.0
4,CON,0.0,0.0
4,SAS,0.0,0.0
4,CHI,0.0,0.0
4,ATL,0.0,0.0
5,CHA,0.0,0.0
5,CLE,0.0,1.0
5,DET,6.0,0.0
5,HOU,0.0,1.0
5,IND,0.0,1.0
5,LAS,5.0,0.5
5,MIA,0.0,0.0
5,MIN,0.0,1.0
5,NYL,4.0,0.0
5,ORL,0.0,0.0
5,PHO,0.0,0.0
5,POR,0.0,0.0
5,SAC,2.0,1.0
5,SEA,0.0,0.0
5,UTA,2.0,0.0
5,WAS,2.0,1.0
5,CON,2.0,0.0
5,SAS,0.0,0.0
5,CHI,0.0,0.0
5,ATL,0.0,0.0
6,CHA,0.0,0.0
6,CLE,0.0,1.0
6,DET,3.0,0.5
6,HOU,0.0,1.0
6,IND,0.0,0.0
6,LAS,2.0,1.0
6,MIA,0.0,0.0
6,MIN,0.0,0.5
6,NYL,2.0,0.0
6,ORL,0.0,0.0
6,PHO,0.0,0.0
6,POR,0.0,0.0
6,SAC,2.0,1.0
6,SEA,6.0,0.0
6,UTA,0.0,0.0
6,WAS,0.0,1.0
6,CON,3.0,0.5
6,SAS,0.0,0.0
6,CHI,0.0,0.0
6,ATL,0.0,0.0
7,CHA,0.0,0.0
7,CLE,0.0,0.0
7,DET,0.0,0.5
7,HOU,2.0,0.0
7,IND,2.0,0.0
7,LAS,0.0,0.5
7,MIA,0.0,0.0
7,MIN,0.0,0.0
7,NYL,1.0,0.0
7,ORL,0.0,0.0
7,PHO,0.0,0.0
7,POR,0.0,0.0
7,SAC,4.5,0.5
7,SEA,3.0,0.5
7,UTA,0.0,0.0
7,WAS,0.0,1.0
7,CON,4.0,1.0
7,SAS,0.0,0.0
7,CHI,0.0,0.0
7,ATL,0.0,0.0
8,CHA,0.0,0.0
8,CLE,0.0,0.0
8,DET,3.5,0.0
8,HOU,1.0,0.0
8,IND,1.0,0.0
8,LAS,1.0,0.0
8,MIA,0.0,0.0
8,MIN,0.0,0.0
8,NYL,0.0,0.0
8,ORL,0.0,0.0
8,PHO,0.0,0.0
8,POR,0.0,0.0
8,SAC,5.5,1.0
8,SEA,0.0,1.0
8,UTA,0.0,0.0
8,WAS,0.0,0.0
8,CON,3.0,1.0
8,SAS,0.0,0.0
8,CHI,0.0,0.0
8,ATL,0.0,0.0
9,CHA,0.0,0.0
9,CLE,0.0,0.0
9,DET,5.5,1.0
9,HOU,0.0,0.0
9,IND,1.0,0.5
9,LAS,2.0,0.0
9,MIA,0.0,0.0
9,MIN,0.0,0.0
9,NYL,0.0,1.0
9,ORL,0.0,0.0
9,PHO,7.0,0.0
9,POR,0.0,0.0
9,SAC,2.0,1.5
9,SEA,0.0,0.5
9,UTA,0.0,0.0
9,WAS,0.0,0.0
9,CON,1.0,1.0
9,SAS,2.0,0.0
9,CHI,0.0,0.0
9,ATL,0.0,0.0
10,CHA,0.0,0.0
10,CLE,0.0,0.0
10,DET,5.5,1.0
10,HOU,0.0,0.0
10,IND,1.0,1.0
10,LAS,2.0,1.0
10,MIA,0.0,0.0
10,MIN,0.0,0.0
10,NYL,1.0,1.0
10,ORL,0.0,0.0
10,PHO,7.0,0.0
10,POR,0.0,0.0
10,SAC,0.0,1.0
10,SEA,0.0,0.5
10,UTA,0.0,0.0
10,WAS,0.0,0.0
10,CON,0.0,1.0
10,SAS,3.0,0.0
10,CHI,0.0,0.0
10,ATL,0.0,0.0
